Tim Burton,personal,Flexitariana,
James Marshall,personal,Flexitariana,
Gandja Monteiro,personal,Vegetariana,
Charles Addams,personal,Vegetariana,
Alfred Gough,personal,Flexitariana,
Miles Millar,personal,Vegetariana,
Kayla Alpert,personal,Apt sa manance orice,
April Blair,personal,Apt sa manance orice,
Matt Lambert,personal,Vegetariana,
Jenna Ortega,personal,Flexitariana,
Gwendoline Christie,personal,Flexitariana,
Riki Lindhome,personal,Flexitariana,
Emma Myers,personal,Vegetariana,
Joy Sunday,personal,Apt sa manance orice,
Naomi J. Ogawa,personal,Vegetariana,
Christina Ricci,personal,Flexitariana,
Jamie McShane,personal,Vegetariana,
Hunter Doohan,personal,Flexitariana,
Percy Hynes White,personal,Apt sa manance orice,
Georgie Farmer,personal,Apt sa manance orice,
Johnna Dias-Watson,personal,Apt sa manance orice,
Oliver Watson,personal,Apt sa manance orice,
Victor Dorobantu,personal,Flexitariana,
Moosa Mostafa,personal,Apt sa manance orice,
Daniel Himschoot,personal,Vegetariana,
Luyanda Unati Lewis-Nyawo,personal,Vegetariana,
Iman Marson,personal,Apt sa manance orice,
Calum Ross,personal,Flexitariana,
Cezar Grumazescu,personal,Flexitariana,
Tommie Earl Jenkins,personal,Flexitariana,
Catherine Zeta-Jones,personal,Flexitariana,
Morgan Beale,personal,Apt sa manance orice,
George Burcea,personal,Flexitariana,
Islam Bouakkaz,personal,Apt sa manance orice,
William Houston,personal,Apt sa manance orice,
Karina Varadi,personal,Vegetariana,
Rina Mahoney,personal,Flexitariana,
Georgia Goodman,personal,Vegetariana,
Murray McArthur,personal,Vegetariana,
Fred Armisen,personal,Apt sa manance orice,
Luis Guzm�n,personal,Flexitariana,
Olimpia Malai,personal,Apt sa manance orice,
Isaac Ordonez,personal,Flexitariana,
Nitin Ganatra,personal,Apt sa manance orice,
Lucius Hoyos,personal,Apt sa manance orice,
Cheherezade Valentine Okotaka Ebale,personal,Flexitariana,
Oliver Wickham,personal,Apt sa manance orice,
Edward Kennedy,personal,Vegetariana,
Ismail Kesu,personal,Flexitariana,
Caroline Lawrie,personal,Vegetariana,
Lachele Carl,personal,Flexitariana,
Gwen Jones,personal,Flexitariana,
Lisa O'Hare,personal,Vegetariana,
Sophia Nomvete,personal,Apt sa manance orice,
Ichir� Y�ki,personal,Apt sa manance orice,
Amanda Drew,personal,Vegetariana,
Ryan Ellsworth,personal,Flexitariana,
Gloria Garcia,personal,Apt sa manance orice,
Gracy Goldman,personal,Vegetariana,
Lewis Hayes,personal,Vegetariana,
Philip Rosch,personal,Vegetariana,
Michael Okele,personal,Flexitariana,
Chloe Cate,personal,Flexitariana,
Kayla Alpert,personal,Apt sa manance orice,
Gail Berman,personal,Apt sa manance orice,
Tim Burton,personal,Vegetariana,
Jonathan Glickman,personal,Vegetariana,
Carla Gonz�lez Vargas,personal,Flexitariana,
Alfred Gough,personal,Vegetariana,
Tommy Harper,personal,Vegetariana,
Nick Iannelli,personal,Flexitariana,
Kevin Lafferty,personal,Apt sa manance orice,
Miles Millar,personal,Flexitariana,
David Minkowski,personal,Apt sa manance orice,
Kevin Miserocchi,personal,Vegetariana,
Andrew Mittman,personal,Flexitariana,
Carmen Pepelea,personal,Apt sa manance orice,
Steve Stark,personal,Apt sa manance orice,
Natalie Testa,personal,Apt sa manance orice,
Todd Williams,personal,Flexitariana,
Chris Bacon,personal,Apt sa manance orice,
Danny Elfman,personal,Flexitariana,
Stephan Pehrsson,personal,Apt sa manance orice,
David Lanzenberg,personal,Vegetariana,
Ana Yavari,personal,Apt sa manance orice,
Jay Prychidny,personal,Flexitariana,
Paul G. Day,personal,Vegetariana,
Florina Fernandes,personal,Flexitariana,
Sophie Holland,personal,Flexitariana,
John Papsidera,personal,Vegetariana,
Mark Scruton,personal,Apt sa manance orice,
Adrian Curelea,personal,Apt sa manance orice,
Ghinea Diana,personal,Flexitariana,
Silvia Nancu,personal,Vegetariana,
Andrei-Florian Popa,personal,Flexitariana,
Serban Porupca,personal,Vegetariana,
Vlad Roseanu,personal,Flexitariana,
Roxana Alexandru,personal,Apt sa manance orice,
Carmen Ratoi,personal,Apt sa manance orice,
Laurentiu Zarnoianu,personal,Flexitariana,
David Morison,personal,Apt sa manance orice,
Rob Hepburn,personal,Flexitariana,
Colleen Atwood,personal,Vegetariana,
Bianca Boeroiu,personal,Apt sa manance orice,
Catalin Ciutu,personal,Apt sa manance orice,
Natalie L Costello,personal,Apt sa manance orice,
Julian Hutcheson,personal,Apt sa manance orice,
Nirvana Jalalvand,personal,Flexitariana,
Grace McComisky,personal,Flexitariana,
Tara McDonald,personal,Apt sa manance orice,
Dominic Mombrun,personal,Flexitariana,
Angela Ruiz Morales,personal,Flexitariana,
Paraschiv Oana,personal,Flexitariana,
Alexandru Sassu,personal,Vegetariana,
Bas Schwarz,personal,Apt sa manance orice,
Rub�n Serra,personal,Apt sa manance orice,
Margo Stefan,personal,Flexitariana,
Viktoria Stieber,personal,Apt sa manance orice,
Sinead Sweeney,personal,Apt sa manance orice,
Iuliana Temelie,personal,Apt sa manance orice,
Clara Tudose,personal,Vegetariana,
Raquel �lvarez,personal,Apt sa manance orice,
Freda Ellis,personal,Flexitariana,
Ripley Dale-Gulston,personal,Apt sa manance orice,
Olimpia Stoicea,personal,Flexitariana,
Tia Costell,personal,Flexitariana,
Susan Cole,personal,Apt sa manance orice,
Jean Carlos de Blas,personal,Vegetariana,
Gabriella Havens,personal,Flexitariana,
Sheherezada Kouchaki,personal,Vegetariana,
Raluca Moldoveanu,personal,Flexitariana,
Andrea Dardea Tesdall,personal,Vegetariana,
Nicoleta Toader,personal,Apt sa manance orice,
Natalie Fox,personal,Vegetariana,
Niki De Jong,personal,Vegetariana,
Ionel Popa,personal,Vegetariana,
Athina Sapanidis,personal,Apt sa manance orice,
Razvan Badea,personal,Flexitariana,
Irene Iovan Calangiu,personal,Vegetariana,
Alexandru Cseh,personal,Apt sa manance orice,
Emma Mallett,personal,Vegetariana,
Alexandru Acsinte,personal,Flexitariana,
Emilie Balusson,personal,Apt sa manance orice,
Bianca Bumbacea,personal,Apt sa manance orice,
Simona Dinu,personal,Flexitariana,
Mariana Grama,personal,Flexitariana,
Mircea Hategan,personal,Vegetariana,
Stefania Ispas,personal,Flexitariana,
Loyzo,personal,Flexitariana,
Raphael Tudor,personal,Apt sa manance orice,
Costin Sforaru,personal,Flexitariana,
Sabina Balan,personal,Vegetariana,
Brett Chan,personal,Flexitariana,
Ada Dumitru,personal,Vegetariana,
Emyr Glyn Rees,personal,Apt sa manance orice,
Jessica Kirec,personal,Flexitariana,
George Walker,personal,Apt sa manance orice,
Richard O'Brien-Moran,personal,Flexitariana,
Mihaela Ionita,personal,Apt sa manance orice,
Alexandra Popa,personal,Flexitariana,
Alexandru Trandafira,personal,Vegetariana,
Sucioaia Alexandra,personal,Flexitariana,
Tache Alexandru,personal,Apt sa manance orice,
Corneliu Mihai Bonciu,personal,Flexitariana,
Rachel Garlick,personal,Flexitariana,
Florin Gavrila,personal,Apt sa manance orice,
Adi Handac,personal,Vegetariana,
Dana Ilie,personal,Apt sa manance orice,
Alexandru Titus Ipate,personal,Flexitariana,
Simona Maican,personal,Flexitariana,
Cristian Mihaila,personal,Vegetariana,
Cosmin Miroiu,personal,Flexitariana,
Amalia Mititelu,personal,Flexitariana,
Pietro Nume,personal,Vegetariana,
Iulia Petrescu,personal,Apt sa manance orice,
Madalina Ripanu,personal,Apt sa manance orice,
Geaniloni Sandru,personal,Apt sa manance orice,
Eusebiu Sirbu,personal,Apt sa manance orice,
Cristina Stefan,personal,Apt sa manance orice,
Alexandra Tudor,personal,Vegetariana,
Laurentiu Zarnoianu,personal,Vegetariana,
Liviu Antonescu,personal,Apt sa manance orice,
Madalina Ciosu,personal,Flexitariana,
Tudor Iordachescu,personal,Vegetariana,
Anca Iscru,personal,Apt sa manance orice,
Ana Neag,personal,Flexitariana,
Iulia Pasarica,personal,Apt sa manance orice,
Andreea Siminea,personal,Flexitariana,
Amy Lockwood,personal,Vegetariana,
Andrew Cherry,personal,Flexitariana,
Cristian Darstar,personal,Flexitariana,
Adrian Curelea,personal,Vegetariana,
Serban Porupca,personal,Apt sa manance orice,
Radu Costache,personal,Vegetariana,
Jennifer Keen,personal,Flexitariana,
Karen Krizanovich,personal,Apt sa manance orice,
Ben Livingstone,personal,Apt sa manance orice,
Yohann Angelvy,personal,Flexitariana,
Michael Baskerville,personal,Vegetariana,
Nicolae Comarzan,personal,Vegetariana,
Tony Diaz,personal,Flexitariana,
Arturo A. Fuenmayor,personal,Flexitariana,
Alastair Gray,personal,Flexitariana,
Justin Helle,personal,Apt sa manance orice,
John Loranger,personal,Flexitariana,
Liviu Lupsa,personal,Flexitariana,
Kristi McIntyre,personal,Vegetariana,
Sean Miller,personal,Flexitariana,
Faustine Pelipel,personal,Vegetariana,
Dan Sexton,personal,Apt sa manance orice,
Alex Stylianou,personal,Flexitariana,
Jamie Sulek,personal,Vegetariana,
Mike Tehrani,personal,Apt sa manance orice,
Marcus Byrne,personal,Flexitariana,
Greg Crawford,personal,Vegetariana,
Juan Martin Del Campo,personal,Flexitariana,
Tim McKeever,personal,Apt sa manance orice,
Simon Diggins,personal,Vegetariana,
Jonathan Gomez,personal,Apt sa manance orice,
Nathan Jackson,personal,Apt sa manance orice,
William Kellerman,personal,Vegetariana,
Leslie Liu,personal,Apt sa manance orice,
Ana Quiroga,personal,Vegetariana,
Dan Barcutean,personal,Flexitariana,
Max Costello,personal,Flexitariana,
Florin Stoian,personal,Apt sa manance orice,
Harry Troughton,personal,Apt sa manance orice,
Jason Troughton,personal,Apt sa manance orice,
Adrian Nica,personal,Apt sa manance orice,
Ilinca Angelescu,personal,Flexitariana,
Yovko Dogandjiiski,personal,Flexitariana,
Antonia Tocheva,personal,Flexitariana,
Matthew Adams,personal,Flexitariana,
Oana Bardan,personal,Flexitariana,
Craig Calvert,personal,Vegetariana,
Kevin Chandoo,personal,Vegetariana,
Nick Colangelo,personal,Apt sa manance orice,
John Coldrick,personal,Apt sa manance orice,
Sam Cole,personal,Vegetariana,
Chris Cooper,personal,Vegetariana,
Roger Dalupang,personal,Flexitariana,
Swedyl DSouza,personal,Flexitariana,
Maxime Ducharme,personal,Vegetariana,
Paula Fanaia,personal,Flexitariana,
Mariah Fleetham,personal,Flexitariana,
Kathryn Foster,personal,Flexitariana,
Ben Funk,personal,Apt sa manance orice,
Keith Goh,personal,Vegetariana,
Kari-Lyn Gravel,personal,Vegetariana,
Jon Howard,personal,Apt sa manance orice,
Kent Johnson,personal,Flexitariana,
Anna Joukova,personal,Apt sa manance orice,
Jesse Kawzenuk,personal,Flexitariana,
Grant Lee,personal,Apt sa manance orice,
Jake Lunt Davies,personal,Apt sa manance orice,
Dumitrana Teodora Lupu,personal,Flexitariana,
Amy Madigan,personal,Vegetariana,
Yael Majors,personal,Flexitariana,
Mariano Mendoza,personal,Flexitariana,
Guillermo Molina,personal,Flexitariana,
Skye Morandin,personal,Vegetariana,
Tom Nagy,personal,Apt sa manance orice,
Ken Nielsen,personal,Apt sa manance orice,
Razvan Nineaca,personal,Apt sa manance orice,
Anthony O'Connell,personal,Flexitariana,
Catalin Otelea,personal,Apt sa manance orice,
Matei Ovejan,personal,Flexitariana,
Alessandro Pantanella,personal,Apt sa manance orice,
Travis Pond,personal,Vegetariana,
Yawar Raja,personal,Flexitariana,
Aditya Sawant,personal,Flexitariana,
Matt Schofield,personal,Apt sa manance orice,
Ksenia Shutova,personal,Vegetariana,
Mark Simone,personal,Flexitariana,
Denis St-Pierre,personal,Flexitariana,
Ryan Terk,personal,Flexitariana,
Jason Teske,personal,Flexitariana,
Tom Turnbull,personal,Flexitariana,
Fabi�n Varela,personal,Apt sa manance orice,
Kelly Weisz,personal,Vegetariana,
Angela Zhang,personal,Flexitariana,
Kayden Anderson,personal,Apt sa manance orice,
Eddie Englander,personal,Apt sa manance orice,
Rashid Khallouk,personal,Apt sa manance orice,
Timothy Mah,personal,Apt sa manance orice,
Michael Osuszek,personal,Vegetariana,
Rodrigo Paiva,personal,Vegetariana,
Suresh Pandi,personal,Vegetariana,
Francois Robert,personal,Flexitariana,
Adam Smith,personal,Vegetariana,
Sarvesh Amre,personal,Vegetariana,
Beno�t Bri�re,personal,Vegetariana,
Paul Chambers,personal,Apt sa manance orice,
Dipak Gaur,personal,Apt sa manance orice,
Taraknath Ghosh,personal,Vegetariana,
Baz Lanaris,personal,Flexitariana,
Prateek Mishra,personal,Flexitariana,
Erin Nicholson,personal,Apt sa manance orice,
Bikram Singh,personal,Flexitariana,
Khushroo Surveyor,personal,Flexitariana,
Ramesh Kumar Yanagandhula,personal,Flexitariana,
Lynx Zuo,personal,Apt sa manance orice,
Patti Gannon,personal,Vegetariana,
Tanya Haddad,personal,Apt sa manance orice,
JoAnna Johnson,personal,Flexitariana,
Luca Lim Diniz,personal,Vegetariana,
Brodie McNeill,personal,Flexitariana,
Tabata Ortiz,personal,Vegetariana,
Nishant Patel,personal,Vegetariana,
Umapathy Rajarathinam,personal,Flexitariana,
Genesis Rivas,personal,Vegetariana,
Manish Rohith,personal,Apt sa manance orice,
Luca Gabriele Rossetti,personal,Vegetariana,
Salil Thapa,personal,Apt sa manance orice,
Fran�ois Trudel,personal,Flexitariana,
Wesley While,personal,Apt sa manance orice,
Kaylie Whitcher,personal,Vegetariana,
Sarah Wormsbecher,personal,Vegetariana,
Summer Zong,personal,Vegetariana,
Oksana Andrulis,personal,Vegetariana,
David Dionne,personal,Vegetariana,
Josh George,personal,Vegetariana,
James Takashi Higuchi,personal,Apt sa manance orice,
Christopher Jude,personal,Vegetariana,
Jos� Lasa,personal,Vegetariana,
Marco Lee,personal,Flexitariana,
Dinaaz Mathur,personal,Apt sa manance orice,
Ben McDougal,personal,Vegetariana,
Sumit Mukherjee,personal,Flexitariana,
Isha Nigam,personal,Vegetariana,
Ryan Jae Wook Park,personal,Flexitariana,
Gustavo Sanchez-Perez,personal,Vegetariana,
Kyle Sim,personal,Flexitariana,
Pankaj Umbarkar,personal,Apt sa manance orice,
Sahil Agrahari,personal,Apt sa manance orice,
Chris Archinet,personal,Vegetariana,
Ajay Kumar Attinti,personal,Flexitariana,
Samuel Boisvert,personal,Vegetariana,
Reine Bourgault,personal,Flexitariana,
Aakash Chaudhari,personal,Flexitariana,
Dave David,personal,Flexitariana,
Amod Diwakar,personal,Vegetariana,
Nadine Fr�ve,personal,Apt sa manance orice,
Mark Goldberg,personal,Vegetariana,
Leonardo Andres Grabau Villalba,personal,Apt sa manance orice,
Jonathan Gr�goire,personal,Flexitariana,
Jeanne Hebert,personal,Flexitariana,
Pravin Hodage,personal,Flexitariana,
Cory Humes,personal,Flexitariana,
Siddarth Jambhulkar,personal,Apt sa manance orice,
Mukesh Joshi,personal,Vegetariana,
Simon Lecavalier,personal,Vegetariana,
Christophe Longtin,personal,Apt sa manance orice,
Oleg Memukhin,personal,Vegetariana,
Waseem Mohammed,personal,Vegetariana,
Dany Richard,personal,Vegetariana,
Nisarg Suthar,personal,Apt sa manance orice,
Nitesh Sutrave,personal,Flexitariana,
Sarvesh Talekar,personal,Vegetariana,
Himani Tyagi,personal,Vegetariana,
Waseem Ahmad Khan,personal,Apt sa manance orice,
Rodrigo Albano,personal,Flexitariana,
Don Carlo Alvir,personal,Vegetariana,
Leanndro Amorim,personal,Flexitariana,
Seshadri Anand,personal,Flexitariana,
Blake Anderson,personal,Flexitariana,
Schuyler Anderson,personal,Apt sa manance orice,
Edwin Arismendez,personal,Apt sa manance orice,
Jessica Bayliss,personal,Apt sa manance orice,
Sudhakar Bhavanasi,personal,Flexitariana,
Alan Bisht,personal,Apt sa manance orice,
William Blanchette,personal,Flexitariana,
Jordan Boulais,personal,Flexitariana,
J. Alan Bradshaw,personal,Apt sa manance orice,
Peter Braeley,personal,Vegetariana,
Charlotte Breton,personal,Apt sa manance orice,
Alex Bronfman,personal,Vegetariana,
Jonathan Bronfman,personal,Flexitariana,
Dennis Chan,personal,Flexitariana,
Hardik Chauhan,personal,Flexitariana,
Molly Chen,personal,Vegetariana,
Sujesh V. Chitty,personal,Flexitariana,
Nolan Conrad,personal,Apt sa manance orice,
Andr�s Couturier,personal,Flexitariana,
Madhu Dasyapu,personal,Flexitariana,
Rodrigo de Angelis,personal,Vegetariana,
Sofia Diaz,personal,Flexitariana,
Maya Dumont-Deslandes,personal,Vegetariana,
Abdullah Ecirli,personal,Flexitariana,
Manoj Kumar Elangovan,personal,Apt sa manance orice,
Michael Enzbrunner,personal,Apt sa manance orice,
Timothy Fleur,personal,Flexitariana,
Adam Fok,personal,Apt sa manance orice,
Gil Franco,personal,Flexitariana,
Emily Funk,personal,Vegetariana,
Antonio Gallardo,personal,Flexitariana,
Gregory Galliani,personal,Flexitariana,
Igor Garanovschii,personal,Vegetariana,
Kunal Ghai,personal,Apt sa manance orice,
Rakan Ghresi,personal,Flexitariana,
Jimmy Gill,personal,Vegetariana,
Yash Gowda,personal,Flexitariana,
Jameer Haider,personal,Flexitariana,
Lewis Hawkes,personal,Vegetariana,
Jim Hillin,personal,Flexitariana,
Curtis Hsiung,personal,Flexitariana,
Chen Kuang Hsu,personal,Apt sa manance orice,
Salvatore Iamonte,personal,Flexitariana,
Pragati Jana,personal,Flexitariana,
Juyong Jeon,personal,Vegetariana,
Kenny Jia,personal,Flexitariana,
Laszlo Kalbache,personal,Vegetariana,
Ashraf Karim,personal,Flexitariana,
Sharad Kate,personal,Apt sa manance orice,
Min Kim,personal,Vegetariana,
Jamie Knoop,personal,Vegetariana,
Ashwini Lad,personal,Vegetariana,
Nadege Lagueux-Beloin,personal,Flexitariana,
Tukaram Landbale,personal,Flexitariana,
Dany Lebrasseur,personal,Apt sa manance orice,
Kate T.C. Lin,personal,Vegetariana,
Matthias Lowry,personal,Apt sa manance orice,
Jimmy Lue,personal,Apt sa manance orice,
Jim Maxwell,personal,Flexitariana,
Jay Mehta,personal,Apt sa manance orice,
Kristine Middlemiss,personal,Flexitariana,
Ali Mio,personal,Flexitariana,
Guto Miranda,personal,Vegetariana,
Vashishta Mohit,personal,Flexitariana,
Lon Molnar,personal,Flexitariana,
Jose Ignacio Narv�ez Monroy,personal,Flexitariana,
Atyeb Muneer,personal,Vegetariana,
Ganesh Ramdas Nalle,personal,Flexitariana,
Michael Naphan,personal,Flexitariana,
Marla Oriol,personal,Apt sa manance orice,
Daksh Pandya,personal,Flexitariana,
Niki Patterson,personal,Flexitariana,
Aravind Pauldurai,personal,Vegetariana,
Victor Perez,personal,Vegetariana,
Navin Pinto,personal,Flexitariana,
Norman Ran,personal,Vegetariana,
Parastu Rezaie,personal,Flexitariana,
Jean-Christophe Rodier,personal,Flexitariana,
Dmitry Ryabchuk,personal,Flexitariana,
Maryam Salehi,personal,Vegetariana,
Rajvinder Sandhu,personal,Vegetariana,
Eric Sanford,personal,Flexitariana,
Rohan Sapkal,personal,Flexitariana,
Alexandre Savard-Boisvert,personal,Vegetariana,
Mark Schreiber,personal,Apt sa manance orice,
Aryan Sehgal,personal,Flexitariana,
Ronak Shah,personal,Vegetariana,
Neelima Sharma,personal,Flexitariana,
Vishal Shitole,personal,Vegetariana,
Casey Sincic,personal,Flexitariana,
Lovelesh Singh,personal,Vegetariana,
Kalpana Mahapatro Siromani,personal,Vegetariana,
Joseph Soloway,personal,Flexitariana,
Meredith Sproul,personal,Vegetariana,
Danny Testani,personal,Apt sa manance orice,
Ali Thaheem,personal,Vegetariana,
Hyacinthe Thomas,personal,Flexitariana,
Phillip Thomas,personal,Vegetariana,
Susana Vasquez,personal,Apt sa manance orice,
Marcus Vinicius,personal,Flexitariana,
Louis Vottero,personal,Vegetariana,
Tina Vuu,personal,Vegetariana,
Tanja Wax,personal,Apt sa manance orice,
Christina Wise,personal,Vegetariana,
Jill Wu,personal,Apt sa manance orice,
